SCI;NO;EN
Scytalopus vicinior;nariñotapakulo;Narino Tapaculo
Scytalopus panamensis;tacarcunatapakulo;Tacarcuna Tapaculo
Scytalopus chocoensis;chocotapakulo;Choco Tapaculo
Scytalopus rodriguezi;magdalenatapakulo;Magdalena Tapaculo
Scytalopus stilesi;antioquiatapakulo;Stiles's Tapaculo
Scytalopus alvarezlopezi;tatamatapakulo;Tatama Tapaculo
Scytalopus robbinsi;ecuadortapakulo;El Oro Tapaculo
Scytalopus caracae;caracastapakulo;Caracas Tapaculo
Scytalopus griseicollis;matorraltapakulo;Pale-bellied Tapaculo
Scytalopus latebricola;brungumptapakulo;Brown-rumped Tapaculo
Scytalopus perijanus;perijatapakulo;Perija Tapaculo
Scytalopus meridanus;meridatapakulo;Merida Tapaculo
Scytalopus parkeri;bambustapakulo;Chusquea Tapaculo
Scytalopus spillmanni;sottapakulo;Spillmann's Tapaculo
Melanopareia torquata;cerradomånesmett;Collared Crescentchest
Melanopareia bitorquata;boliviamånesmett;Double-collared Crescentchest
Melanopareia maximiliani;olivenmånesmett;Olive-crowned Crescentchest
Melanopareia maranonica;marañonmånesmett;Maranon Crescentchest
Melanopareia elegans;praktmånesmett;Elegant Crescentchest
Piprites griseiceps;gråhodepiprit;Grey-headed Piprites
Piprites chloris;grånakkepiprit;Wing-barred Piprites
Piprites pileata;svartkronepiprit;Black-capped Piprites
Phyllomyias virescens;olivenløvtyrann;Greenish Tyrannulet
Phyllomyias reiseri;kayapóløvtyrann;Reiser's Tyrannulet
Phyllomyias urichi;sucreløvtyrann;Urich's Tyrannulet
Phyllomyias sclateri;båndløvtyrann;Sclater's Tyrannulet
Phyllomyias weedeni;yungasløvtyrann;Yungas Tyrannulet
Phyllomyias fasciatus;brasilløvtyrann;Planalto Tyrannulet
Phyllomyias griseiceps;sotkroneløvtyrann;Sooty-headed Tyrannulet
Phyllomyias plumbeiceps;blykroneløvtyrann;Plumbeous-crowned Tyrannulet
Phyllomyias griseocapilla;gråhodeløvtyrann;Grey-capped Tyrannulet
Acrochordopus burmeisteri;panløvtyrann;Rough-legged Tyrannulet
Acrochordopus zeledoni;hvitpanneløvtyrann;White-fronted Tyrannulet
Tyranniscus nigrocapillus;svartkroneløvtyrann;Black-capped Tyrannulet
Tyranniscus cinereiceps;sigdløvtyrann;Ashy-headed Tyrannulet
Tyranniscus uropygialis;brungumpløvtyrann;Tawny-rumped Tyrannulet
Tyrannulus elatus;prinsetyrann;Yellow-crowned Tyrannulet
Myiopagis gaimardii;skogelenia;Forest Elaenia
Myiopagis parambae;chocoelenia;Choco Elaenia
Myiopagis cinerea;tinnelenia;Amazonian Elaenia
Myiopagis caniceps;gråelenia;Grey-headed Elaenia
Myiopagis olallai;fjellfotelenia;Foothill Elaenia
Myiopagis subplacens;ecuadorelenia;Pacific Elaenia
Myiopagis flavivertex;varzeaelenia;Yellow-crowned Elaenia
Myiopagis viridicata;grønnelenia;Greenish Elaenia
Myiopagis cotta;jamaicaelenia;Jamaican Elaenia
Elaenia flavogaster;gulbukelenia;Yellow-bellied Elaenia
Elaenia martinica;karibelenia;Caribbean Elaenia
Elaenia spectabilis;storelenia;Large Elaenia
Elaenia ridleyana;noronhaelenia;Noronha Elaenia
Elaenia albiceps;hvitisseelenia;White-crested Elaenia
Elaenia chilensis;chileelenia;Chilean Elaenia
Elaenia parvirostris;kortnebbelenia;Small-billed Elaenia
Elaenia mesoleuca;olivenelenia;Olivaceous Elaenia
Elaenia strepera;skiferelenia;Slaty Elaenia
Elaenia gigas;hornelenia;Mottle-backed Elaenia
Elaenia pelzelni;flodelenia;Brownish Elaenia
Elaenia cristata;buskelenia;Plain-crested Elaenia
Elaenia chiriquensis;gresselenia;Lesser Elaenia
Elaenia brachyptera;nariñoelenia;Coopmans's Elaenia
Elaenia ruficeps;rødnakkeelenia;Rufous-crowned Elaenia
Elaenia frantzii;bergelenia;Mountain Elaenia
Elaenia obscura;skyggeelenia;Highland Elaenia
Elaenia sordida;brasilelenia;Small-headed Elaenia
Elaenia dayi;kjempeelenia;Great Elaenia
Elaenia pallatangae;fjellelenia;Sierran Elaenia
Elaenia olivina;tepuielenia;Tepui Elaenia
Elaenia fallax;antillelenia;Greater Antillean Elaenia
Ornithion semiflavum;gulbuktyrannulett;Yellow-bellied Tyrannulet
Ornithion brunneicapillus;brunkronetyrannulett;Brown-capped Tyrannulet
Ornithion inerme;perlebåndtyrannulett;White-lored Tyrannulet
Camptostoma imberbe;nordglattyrannulett;Northern Beardless Tyrannulet
Camptostoma obsoletum;sørglattyrannulett;Southern Beardless Tyrannulet
Suiriri suiriri;suirirityrann;Suiriri Flycatcher
Mecocerculus leucophrys;hvitstrupetyrannulett;White-throated Tyrannulet
Mecocerculus poecilocercus;hvitstjerttyrannulett;White-tailed Tyrannulet
Mecocerculus hellmayri;okerbåndtyrannulett;Buff-banded Tyrannulet
Mecocerculus calopterus;rustvingetyrannulett;Rufous-winged Tyrannulet
Mecocerculus minor;svoveltyrannulett;Sulphur-bellied Tyrannulet
Mecocerculus stictopterus;hvitbåndtyrannulett;White-banded Tyrannulet
Anairetes nigrocristatus;mefistomeisetyrann;Black-crested Tit-Tyrant
Anairetes reguloides;lomameisetyrann;Pied-crested Tit-Tyrant
Anairetes alpinus;polylepismeisetyrann;Ash-breasted Tit-Tyrant
Anairetes flavirostris;gulnebbmeisetyrann;Yellow-billed Tit-Tyrant
Anairetes parulus;guløyemeisetyrann;Tufted Tit-Tyrant
Anairetes fernandezianus;juanfernandezmeisetyrann;Juan Fernandez Tit-Tyrant
Uromyias agilis;nordmeisetyrann;Agile Tit-Tyrant
Uromyias agraphia;inkameisetyrann;Unstreaked Tit-Tyrant
Serpophaga cinerea;strømtyrannulett;Torrent Tyrannulet
Serpophaga hypoleuca;flodtyrannulett;River Tyrannulet
Serpophaga nigricans;sottyrannulett;Sooty Tyrannulet
Serpophaga subcristata;hvitissetyrannulett;White-crested Tyrannulet
Serpophaga griseicapilla;gråhodetyrannulett;Straneck's Tyrannulet
Nesotriccus incomtus;umbratyrannulett;Northern Mouse-colored Tyrannulet
Nesotriccus ridgwayi;cocotyrann;Cocos Tyrannulet
Nesotriccus murinus;bruntyrannulett;Southern Mouse-colored Tyrannulet
Nesotriccus tumbezanus;krattyrannulett;Tumbesian Tyrannulet
Nesotriccus maranonicus;maranontyrannulett;Maranon Tyrannulet
Capsiempis flaveola;gultyrann;Yellow Tyrannulet
Polystictus pectoralis;skjeggtyrann;Bearded Tachuri
Polystictus superciliaris;campostyrann;Grey-backed Tachuri
Pseudocolopteryx dinelliana;argentinadoradito;Dinelli's Doradito
Pseudocolopteryx sclateri;duskdoradito;Crested Doradito
Pseudocolopteryx acutipennis;andesdoradito;Subtropical Doradito
Pseudocolopteryx flaviventris;sangdoradito;Warbling Doradito
Pseudocolopteryx citreola;tikkedoradito;Ticking Doradito
Pseudotriccus pelzelni;brundvergtyrann;Bronze-olive Pygmy Tyrant
Pseudotriccus simplex;yungasdvergtyrann;Hazel-fronted Pygmy Tyrant
Pseudotriccus ruficeps;rødhodedvergtyrann;Rufous-headed Pygmy Tyrant
Corythopis torquatus;amazonmaurtyrann;Ringed Antpipit
Corythopis delalandi;sørmaurtyrann;Southern Antpipit
Euscarthmus meloryphus;blekpygmétyrann;Fulvous-crowned Scrub Tyrant
Euscarthmus fulviceps;rustfjespygmétyrann;Fulvous-faced Scrub Tyrant
Euscarthmus rufomarginatus;rustpygmétyrann;Rufous-sided Scrub Tyrant
Pseudelaenia leucospodia;ørkentyrannulett;Grey-and-white Tyrannulet
Stigmatura napensis;småviftetyrann;Lesser Wagtail-Tyrant
Stigmatura bahiae;bahiaviftetyrann;Bahia Wagtail-Tyrant
Stigmatura budytoides;storviftetyrann;Greater Wagtail-Tyrant
Zimmerius vilissimus;guatemalatyrannulett;Guatemalan Tyrannulet
Zimmerius parvus;mistelteintyrannulett;Mistletoe Tyrannulet
Zimmerius improbus;bergtyrannulett;Spectacled Tyrannulet
Zimmerius petersi;venezuelatyrannulett;Venezuelan Tyrannulet
Zimmerius bolivianus;boliviatyrannulett;Bolivian Tyrannulet
Zimmerius cinereicapilla;inkatyrannulett;Red-billed Tyrannulet
Zimmerius villarejoi;varillaltyrannulett;Mishana Tyrannulet
Zimmerius chicomendesi;campinatyrannulett;Chico's Tyrannulet
Zimmerius gracilipes;amazontyrannulett;Slender-footed Tyrannulet
Zimmerius acer;guyanatyrannulett;Guianan Tyrannulet
Zimmerius chrysops;gulbryntyrannulett;Golden-faced Tyrannulet
Zimmerius minimus;santamartatyrannulett;Coopmans's Tyrannulet
Zimmerius albigularis;blekstrupetyrannulett;Choco Tyrannulet
Zimmerius flavidifrons;lojatyrannulett;Loja Tyrannulet
Zimmerius viridiflavus;løvtyrannulett;Peruvian Tyrannulet
Pogonotriccus poecilotis;kanelbåndbørstetyrann;Variegated Bristle Tyrant
Pogonotriccus chapmani;tepuibørstetyrann;Chapman's Bristle Tyrant
Pogonotriccus ophthalmicus;vatrebørstetyrann;Marble-faced Bristle Tyrant
Pogonotriccus orbitalis;brillebørstetyrann;Spectacled Bristle Tyrant
Pogonotriccus venezuelanus;venezuelabørstetyrann;Venezuelan Bristle Tyrant
Pogonotriccus lanyoni;antioquiabørstetyrann;Antioquia Bristle Tyrant
Pogonotriccus eximius;sørbørstetyrann;Southern Bristle Tyrant
Pogonotriccus paulista;gulbrynbladdanser;Sao Paulo Bristle Tyrant
Pogonotriccus difficilis;hvitbrillebladdanser;Serra do Mar Bristle Tyrant
Phylloscartes ventralis;nymfebladdanser;Mottle-cheeked Tyrannulet
Phylloscartes ceciliae;alagoasbladdanser;Alagoas Tyrannulet
Phylloscartes kronei;restingabladdanser;Restinga Tyrannulet
Phylloscartes beckeri;bahiabladdanser;Bahia Tyrannulet
Phylloscartes flavovirens;panamabladdanser;Panama Tyrannulet
Phylloscartes virescens;guyanabladdanser;Olive-green Tyrannulet
Phylloscartes gualaquizae;ecuadorbladdanser;Ecuadorian Tyrannulet
Phylloscartes nigrifrons;svartpannebladdanser;Black-fronted Tyrannulet
Phylloscartes superciliaris;rustbrynbladdanser;Rufous-browed Tyrannulet
Phylloscartes flaviventris;rusttøylebladdanser;Rufous-lored Tyrannulet
Phylloscartes parkeri;kanelpannebladdanser;Cinnamon-faced Tyrannulet
Phylloscartes roquettei;minasgeraisbladdanser;Minas Gerais Tyrannulet
Phylloscartes oustaleti;gulbrillebladdanser;Oustalet's Tyrannulet
Phylloscartes sylviolus;brunbrillebladdanser;Bay-ringed Tyrannulet
Mionectes striaticollis;stripebrysttyrann;Streak-necked Flycatcher
Mionectes olivaceus;oliventyrann;Olive-streaked Flycatcher
Mionectes galbinus;olivenstripetyrann;Olive-striped Flycatcher
Mionectes oleagineus;okerbuktyrann;Ochre-bellied Flycatcher
Mionectes macconnelli;leiktyrann;McConnell's Flycatcher
Mionectes roraimae;tepuityrann;Sierra de Lema Flycatcher
Mionectes rufiventris;gråhodetyrann;Grey-hooded Flycatcher
Leptopogon amaurocephalus;sepiakronetyrann;Sepia-capped Flycatcher
Leptopogon superciliaris;skiferkronetyrann;Slaty-capped Flycatcher
Leptopogon rufipectus;rustbrysttyrann;Rufous-breasted Flycatcher
Leptopogon taczanowskii;inkatyrann;Inca Flycatcher
Guyramemua affine;cerradotyrann;Chapada Flycatcher
Sublegatus arenarum;nordkrattyrann;Northern Scrub Flycatcher
Sublegatus obscurior;amazonkrattyrann;Amazonian Scrub Flycatcher
Sublegatus modestus;sørkrattyrann;Southern Scrub Flycatcher
Inezia tenuirostris;smalnebbtyrannulett;Slender-billed Inezia
Inezia inornata;chacotyrannulett;Plain Inezia
Inezia subflava;hvittipptyrannulett;Amazonian Inezia
Inezia caudata;blektipptyrannulett;Pale-tipped Inezia
Myiophobus flavicans;gulstenktyrann;Flavescent Flycatcher
Myiophobus phoenicomitra;ildkronetyrann;Orange-crested Flycatcher
Myiophobus inornatus;rustbåndtyrann;Unadorned Flycatcher
Myiophobus roraimae;kanelbåndtyrann;Roraiman Flycatcher
Myiophobus cryptoxanthus;olivenbrysttyrann;Olive-chested Flycatcher
Myiophobus fasciatus;kjerrtyrann;Bran-colored Flycatcher
Myiophobus crypterythrus;flekkbrysttyrann;Mouse-grey Flycatcher
Myiophobus rufescens;kanelbrysttyrann;Rufescent Flycatcher
Nephelomyias pulcher;okerbåndtyrann;Handsome Flycatcher
Nephelomyias lintoni;ecuadortyrann;Orange-banded Flycatcher
Nephelomyias ochraceiventris;okerbrysttyrann;Ochraceous-breasted Flycatcher
Myiotriccus ornatus;ornattyrann;Ornate Flycatcher
Tachuris rubrigastra;fagertyrann;Many-colored Rush Tyrant
Culicivora caudacuta;piggstjerttyrann;Sharp-tailed Grass Tyrant
Hemitriccus diops;gråbrysttodityrann;Drab-breasted Bamboo Tyrant
Hemitriccus obsoletus;brunbrysttodityrann;Brown-breasted Bamboo Tyrant
Hemitriccus flammulatus;bambustodityrann;Flammulated Bamboo Tyrant
Hemitriccus minor;amazontodityrann;Snethlage's Tody-Tyrant
Hemitriccus spodiops;yungastodityrann;Yungas Tody-Tyrant
Hemitriccus cohnhafti;acretodityrann;Acre Tody-Tyrant
Hemitriccus josephinae;guyanatodityrann;Boat-billed Tody-Tyrant
Hemitriccus zosterops;blekøyetodityrann;White-eyed Tody-Tyrant
Hemitriccus griseipectus;hvitbuktodityrann;White-bellied Tody-Tyrant
Hemitriccus minimus;tapajostodityrann;Zimmer's Tody-Tyrant
Hemitriccus orbitatus;brilletodityrann;Eye-ringed Tody-Tyrant
Hemitriccus iohannis;selvastodityrann;Johannes's Tody-Tyrant
Hemitriccus striaticollis;stripetodityrann;Stripe-necked Tody-Tyrant
Hemitriccus nidipendulus;oliventodityrann;Hangnest Tody-Tyrant
Hemitriccus margaritaceiventer;perlemortodityrann;Pearly-vented Tody-Tyrant
Hemitriccus inornatus;içanatodityrann;Pelzeln's Tody-Tyrant
Hemitriccus granadensis;svartstrupetodityrann;Black-throated Tody-Tyrant
Hemitriccus mirandae;karamelltodityrann;Buff-breasted Tody-Tyrant
Hemitriccus cinnamomeipectus;kaneltodityrann;Cinnamon-breasted Tody-Tyrant
Hemitriccus kaempferi;okertodityrann;Kaempfer's Tody-Tyrant
Hemitriccus rufigularis;stortodityrann;Buff-throated Tody-Tyrant
Hemitriccus furcatus;gaffeltodityrann;Fork-tailed Tody-Tyrant
Myiornis auricularis;gulbukknøttyrann;Eared Pygmy Tyrant
Myiornis albiventris;hvitbukknøttyrann;White-bellied Pygmy Tyrant
Myiornis atricapillus;svartkroneknøttyrann;Black-capped Pygmy Tyrant
Myiornis ecaudatus;kortstjertknøttyrann;Short-tailed Pygmy Tyrant
Oncostoma cinereigulare;nordbuetyrann;Northern Bentbill
Oncostoma olivaceum;sørbuetyrann;Southern Bentbill
Lophotriccus pileatus;fjellalvetyrann;Scale-crested Pygmy Tyrant
Lophotriccus eulophotes;toppalvetyrann;Long-crested Pygmy Tyrant
Lophotriccus vitiosus;amazonalvetyrann;Double-banded Pygmy Tyrant
Lophotriccus galeatus;guyanaalvetyrann;Helmeted Pygmy Tyrant
Atalotriccus pilaris;småalvetyrann;Pale-eyed Pygmy Tyrant
Poecilotriccus ruficeps;rødkronetodityrann;Rufous-crowned Tody-Flycatcher
Poecilotriccus luluae;rødhodetodityrann;Lulu's Tody-Flycatcher
Poecilotriccus albifacies;hvitkinntodityrann;White-cheeked Tody-Flycatcher
Poecilotriccus capitalis;loretotodityrann;Black-and-white Tody-Flycatcher
Poecilotriccus senex;fabeltodityrann;Buff-cheeked Tody-Flycatcher
Poecilotriccus russatus;tepuitodityrann;Ruddy Tody-Flycatcher
Poecilotriccus plumbeiceps;gråkronetodityrann;Ochre-faced Tody-Flycatcher
Poecilotriccus fumifrons;krattodityrann;Smoky-fronted Tody-Flycatcher
Poecilotriccus latirostris;masketodityrann;Rusty-fronted Tody-Flycatcher
Poecilotriccus sylvia;skiferhodetodityrann;Slaty-headed Tody-Flycatcher
Poecilotriccus calopterus;gulvingetodityrann;Golden-winged Tody-Flycatcher
Poecilotriccus pulchellus;svartryggtodityrann;Black-backed Tody-Flycatcher
Taeniotriccus andrei;svartbrysttyrann;Black-chested Tyrant
Todirostrum maculatum;flekktodityrann;Spotted Tody-Flycatcher
Todirostrum poliocephalum;gultøyletodityrann;Yellow-lored Tody-Flycatcher
Todirostrum cinereum;gjøglertodityrann;Common Tody-Flycatcher
Todirostrum viridanum;maracaibotodityrann;Maracaibo Tody-Flycatcher
Todirostrum pictum;svarthettetodityrann;Painted Tody-Flycatcher
Todirostrum chrysocrotaphum;gulbryntodityrann;Yellow-browed Tody-Flycatcher
Todirostrum nigriceps;svarthodetodityrann;Black-headed Tody-Flycatcher
Cnipodectes subbrunneus;brunvrivinge;Brownish Twistwing
Cnipodectes superrufus;rustvrivinge;Rufous Twistwing
Rhynchocyclus pacificus;chocoflatnebb;Pacific Flatbill
Rhynchocyclus brevirostris;brilleflatnebb;Eye-ringed Flatbill
Rhynchocyclus fulvipectus;brunbrystflatnebb;Fulvous-breasted Flatbill
Rhynchocyclus aequinoctialis;pipeflatnebb;Western Olivaceous Flatbill
Rhynchocyclus olivaceus;olivenflatnebb;Eastern Olivaceous Flatbill
Tolmomyias sulphurescens;bladflatnebb;Yellow-olive Flatbill
Tolmomyias traylori;oransjeøyeflatnebb;Orange-eyed Flatbill
Tolmomyias flavotectus;gulvingeflatnebb;Yellow-winged Flatbill
Tolmomyias assimilis;gulbremflatnebb;Yellow-margined Flatbill
Tolmomyias poliocephalus;askekroneflatnebb;Grey-crowned Flatbill
Tolmomyias flaviventris;gulbrystflatnebb;Ochre-lored Flatbill
Tolmomyias viridiceps;olivenhodeflatnebb;Olive-faced Flatbill
Calyptura cristata;fuglekongetyrann;Kinglet Calyptura
Platyrinchus saturatus;guyanaspadenebb;Cinnamon-crested Spadebill
Platyrinchus cancrominus;nordspadenebb;Stub-tailed Spadebill
Platyrinchus mystaceus;hvitstrupespadenebb;White-throated Spadebill
Platyrinchus coronatus;gullkronespadenebb;Golden-crowned Spadebill
Platyrinchus flavigularis;gulstrupespadenebb;Yellow-throated Spadebill
Platyrinchus platyrhynchos;gråhodespadenebb;White-crested Spadebill
Platyrinchus leucoryphus;rødvingespadenebb;Russet-winged Spadebill
Neopipo cinnamomea;kanelbuktyrann;Cinnamon Neopipo
Pyrrhomyias cinnamomeus;kaneltyrann;Cinnamon Flycatcher
Hirundinea ferruginea;klippetyrann;Cliff Flycatcher
Lathrotriccus euleri;skogtyrann;Euler's Flycatcher
Lathrotriccus griseipectus;gråbrysttyrann;Grey-breasted Flycatcher
Aphanotriccus capitalis;safranbrysttyrann;Tawny-chested Flycatcher
Aphanotriccus audax;svartnebbtyrann;Black-billed Flycatcher
Cnemotriccus fuscatus;bruntyrann;Fuscous Flycatcher
Xenotriccus callizonus;beltetyrann;Belted Flycatcher
Xenotriccus mexicanus;aztektyrann;Pileated Flycatcher
Sayornis phoebe;gråfibi;Eastern Phoebe
Sayornis nigricans;svartfibi;Black Phoebe
Sayornis saya;brunfibi;Say's Phoebe
Mitrephanes phaeocercus;topptyrann;Northern Tufted Flycatcher
Mitrephanes olivaceus;inkatopptyrann;Olive Tufted Flycatcher
Contopus cooperi;jakkepivi;Olive-sided Flycatcher
Contopus pertinax;storpivi;Greater Pewee
Contopus lugubris;sotpivi;Dark Pewee
Contopus fumigatus;røykpivi;Smoke-colored Pewee
Contopus ochraceus;okerpivi;Ochraceous Pewee
Contopus sordidulus;vestpivi;Western Wood Pewee
Contopus virens;østpivi;Eastern Wood Pewee
Contopus bogotensis;nordtropepivi;Northern Tropical Pewee
Contopus punensis;quechuapivi;Tumbes Pewee
Contopus cinereus;sørtropepivi;Southern Tropical Pewee
Contopus albogularis;hvitstrupepivi;White-throated Pewee
Contopus nigrescens;kokspivi;Blackish Pewee
Contopus caribaeus;karibpivi;Cuban Pewee
Contopus hispaniolensis;hispaniolapivi;Hispaniolan Pewee
Contopus pallidus;jamaicapivi;Jamaican Pewee
Contopus latirostris;antillpivi;Lesser Antillean Pewee
Empidonax flaviventris;gulbukempid;Yellow-bellied Flycatcher
Empidonax virescens;østempid;Acadian Flycatcher
Empidonax traillii;vierempid;Willow Flycatcher
Empidonax alnorum;oreempid;Alder Flycatcher
Empidonax albigularis;hvitstrupeempid;White-throated Flycatcher
Empidonax minimus;småempid;Least Flycatcher
Empidonax hammondii;granempid;Hammond's Flycatcher
Empidonax oberholseri;krattempid;American Dusky Flycatcher
Empidonax wrightii;gråempid;American Grey Flycatcher
Empidonax affinis;furuempid;Pine Flycatcher
Empidonax difficilis;vestempid;Western Flycatcher
Empidonax flavescens;gulempid;Yellowish Flycatcher
Empidonax fulvifrons;brunbrystempid;Buff-breasted Flycatcher
Empidonax atriceps;svarthetteempid;Black-capped Flycatcher
Pyrocephalus rubinus;rubintyrann;Scarlet Flycatcher
Pyrocephalus obscurus;skarlagentyrann;Vermilion Flycatcher
Pyrocephalus nanus;sinobertyrann;Darwin's Flycatcher
Pyrocephalus dubius;karmosintyrann;San Cristobal Flycatcher
Ochthornis littoralis;elvetyrann;Drab Water Tyrant
Satrapa icterophrys;satraptyrann;Yellow-browed Tyrant
Syrtidicola fluviatilis;dvergmarktyrann;Little Ground Tyrant
Muscisaxicola maculirostris;flekknebbmarktyrann;Spot-billed Ground Tyrant
Muscisaxicola albifrons;stormarktyrann;White-fronted Ground Tyrant
Muscisaxicola flavinucha;gulkronemarktyrann;Ochre-naped Ground Tyrant
Muscisaxicola alpinus;paramomarktyrann;Paramo Ground Tyrant
Muscisaxicola griseus;askemarktyrann;Taczanowski's Ground Tyrant
Muscisaxicola cinereus;gråmarktyrann;Cinereous Ground Tyrant
Muscisaxicola rufivertex;rødkronemarktyrann;Rufous-naped Ground Tyrant
Muscisaxicola maclovianus;magellanmarktyrann;Dark-faced Ground Tyrant
Muscisaxicola albilora;hvitbrynmarktyrann;White-browed Ground Tyrant
Muscisaxicola capistratus;kanelmarktyrann;Cinnamon-bellied Ground Tyrant
Muscisaxicola juninensis;punamarktyrann;Puna Ground Tyrant
Muscisaxicola frontalis;svartpannemarktyrann;Black-fronted Ground Tyrant
Lessonia oreas;andesnegrito;Andean Negrito
Lessonia rufa;patagonianegrito;Austral Negrito
Hymenops perspicillatus;brilletyrann;Spectacled Tyrant
Knipolegus cyanirostris;blånebbsottyrann;Blue-billed Black Tyrant
Knipolegus signatus;andessottyrann;Jelski's Black Tyrant
Knipolegus cabanisi;blysottyrann;Plumbeous Tyrant
Knipolegus striaticeps;chacosottyrann;Cinereous Tyrant
