SCI;NO;EN
Odontophorus dialeucos;tacarcunatannvaktel;Tacarcuna Wood Quail
Odontophorus strophium;kragetannvaktel;Gorgeted Wood Quail
Odontophorus columbianus;venezuelatannvaktel;Venezuelan Wood Quail
Odontophorus leucolaemus;svartbrysttannvaktel;Black-breasted Wood Quail
Odontophorus balliviani;diamanttannvaktel;Stripe-faced Wood Quail
Odontophorus stellatus;stjernetannvaktel;Starred Wood Quail
Odontophorus guttatus;flekktannvaktel;Spotted Wood Quail
Dactylortyx thoracicus;sangvaktel;Singing Quail
Cyrtonyx montezumae;aztekvaktel;Montezuma Quail
Cyrtonyx ocellatus;zapotekvaktel;Ocellated Quail
Rhynchortyx cinctus;gråbrystvaktel;Tawny-faced Quail
Xenoperdix udzungwensis;udzungwahøne;Udzungwa Forest Partridge
Xenoperdix obscuratus;rubehohøne;Rubeho Forest Partridge
Caloperdix oculeus;rusthøne;Ferruginous Partridge
Rollulus rouloul;ildviftehøne;Crested Partridge
Melanoperdix niger;svarthøne;Black Partridge
Arborophila torqueola;rustkronehøne;Hill Partridge
Arborophila rufipectus;sichuanhøne;Sichuan Partridge
Arborophila mandellii;bhutanhøne;Chestnut-breasted Partridge
Arborophila gingica;hvitpannehøne;White-necklaced Partridge
Arborophila rufogularis;ruststrupehøne;Rufous-throated Partridge
Arborophila rubrirostris;rødnebbhøne;Red-billed Partridge
Arborophila diversa;thaihøne;Siamese Partridge
Arborophila cambodiana;khmerhøne;Chestnut-headed Partridge
Arborophila ardens;hainanhøne;Hainan Partridge
Arborophila crudigularis;taiwanhøne;Taiwan Partridge
Arborophila atrogularis;hvitskjegghøne;White-cheeked Partridge
Arborophila brunneopectus;laohøne;Bar-backed Partridge
Arborophila davidi;vietnamhøne;Orange-necked Partridge
Arborophila hyperythra;borneohøne;Red-breasted Partridge
Arborophila campbelli;malayhøne;Malayan Partridge
Arborophila rolli;batakhøne;Roll's Partridge
Arborophila sumatrana;sumatrahøne;Sumatran Partridge
Arborophila javanica;javahøne;Chestnut-bellied Partridge
Arborophila orientalis;maskehøne;Grey-breasted Partridge
Lerwa lerwa;sherpahøne;Snow Partridge
Ithaginis cruentus;blodfasan;Blood Pheasant
Tragopan melanocephalus;juvelfasan;Western Tragopan
Tragopan satyra;satyrfasan;Satyr Tragopan
Tragopan blythii;rubinfasan;Blyth's Tragopan
Tragopan temminckii;ornatfasan;Temminck's Tragopan
Tragopan caboti;gallafasan;Cabot's Tragopan
Tetraophasis obscurus;brunstrupehøne;Chestnut-throated Monal-Partridge
Tetraophasis szechenyii;gulstrupehøne;Buff-throated Monal-Partridge
Lophophorus impejanus;glansfasan;Himalayan Monal
Lophophorus sclateri;bronsefasan;Sclater's Monal
Lophophorus lhuysii;regnbuefasan;Chinese Monal
Pucrasia macrolopha;koklassfasan;Koklass Pheasant
Meleagris gallopavo;kalkun;Wild Turkey
Meleagris ocellata;flekkalkun;Ocellated Turkey
Bonasa umbellus;kragejerpe;Ruffed Grouse
Tetrastes bonasia;jerpe;Hazel Grouse
Tetrastes sewerzowi;kinajerpe;Chinese Grouse
Centrocercus urophasianus;salviejerpe;Sage Grouse
Centrocercus minimus;gunnisonjerpe;Gunnison Grouse
Dendragapus obscurus;blåjerpe;Dusky Grouse
Dendragapus fuliginosus;sotjerpe;Sooty Grouse
Tympanuchus phasianellus;spisshalejerpe;Sharp-tailed Grouse
Tympanuchus cupido;storpræriejerpe;Greater Prairie Chicken
Tympanuchus pallidicinctus;småpræriejerpe;Lesser Prairie Chicken
